no city bpr_alpha bpr_beta turn_penalty_left turn_penalty_right turn_penalty_through turn_penalty_u_turn
1 San_Francisco 0.5 1.8 0.3 0.2 0.1 −1
2 Seattle 0.6 3 0.3 0.2 0.1 −1
3 Portland 0.5 1.2 0.2 0.15 0.1 −1
4 Las_Vegas 0.5 1.3 0 0 0 −1
5 Chicago 0.5 1.2 0.3 0.2 0.1 −1
6 New_Orleans 0.6 1.8 0.15 0.1 0.05 −1
7 Austin 0.5 1.5 0.3 0.2 0.1 −1
8 Minneapolis 0.15 1.8 0.15 0.1 0.05 −1
9 Dallas 0.6 1.3 0.25 0.15 0.1 −1
10 Milwaukee 0.5 1.5 0.1 0.05 0 −1
11 New_York 0.25 1.5 0.2 0.15 0.1 −1
12 Washington 0.5 1.5 0.2 0.1 0.05 −1
13 Boston 0.25 2 0.2 0.1 0.05 −1
14 Philadelphia 0.5 1.2 0.3 0.2 0.1 −1
15 Pittsburgh 0.5 2 0.35 0.25 0.15 −1
16 Miami 0.5 1.5 0.35 0.25 0.15 −1
17 Atlanta 0.2 1.5 0.25 0.15 0.1 −1
18 Phoenix 0.15 1.2 0 0 0 −1
19 Denver 0.5 1.5 0.3 0.2 0.1 −1
20 Honolulu 0.5 1.5 0.1 0.05 0 −1
